iter	RMSE
908	541.5740069
909	541.5288906
910	541.5072165
911	541.4970975
912	541.4504218
913	541.4222452
914	541.3603752
915	541.3286066
916	541.2897008
917	541.2854
918	541.2403253
919	541.1969484
920	541.1610862
921	541.1356329
922	541.121954
923	541.0995829
924	541.0563484
925	541.0247053
926	540.9959972
927	540.9895587
928	540.9712596
929	540.9498501
930	540.9292015
931	540.8976406
932	540.8816367
933	540.8336017
934	540.8089044
935	540.7510953
936	540.7198798
937	540.6879201
938	540.6703491
939	540.632954
940	540.6154153
941	540.5904861
942	540.5626936
943	540.4961261
944	540.4824051
945	540.4587258
946	540.4159721
947	540.3849947
948	540.3483058
949	540.3111361
950	540.2811217
951	540.22588
952	540.1964958
953	540.1711039
954	540.1445558
955	540.0990115
956	540.0588702
957	540.0252583
958	540.0192507
959	539.9990223
960	539.9063768
961	539.8764743
962	539.8486187
963	539.7854258
964	539.7321821
965	539.6862877
966	539.6586674
967	539.6156415
968	539.565381
969	539.5279695
970	539.4852334
971	539.4289522
972	539.4022617
973	539.3793493
974	539.3563086
975	539.3122548
976	539.2697635
977	539.2171512
978	539.1941915
979	539.1604393
980	539.1306029
981	539.1222042
982	539.0625175
983	539.0396164
984	539.014507
985	538.9978708
986	538.9671378
987	538.9306689
988	538.8948244
989	538.8728862
990	538.8486004
991	538.8141046
992	538.7930114
993	538.7728724
994	538.744434
995	538.6576437
996	538.6244643
997	538.5960614
998	538.5356136
999	538.4950478
1000	538.4467102
1001	538.4182962
1002	538.3934069
1003	538.3230667
1004	538.3137359
1005	538.3067068
1006	538.2334374
1007	538.2158061
1008	538.1887827
1009	538.1650811
1010	538.1513613
1011	538.1324741
1012	538.1129698
1013	538.0645599
1014	538.0451085
1015	537.9920197
1016	537.9351133
1017	537.8754275
1018	537.8362237
1019	537.803492
1020	537.7497928
1021	537.7345369
1022	537.6827255
1023	537.6642386
1024	537.6263808
1025	537.6125044
1026	537.580855
1027	537.5261315
1028	537.5078337
1029	537.4513439
1030	537.4341668
1031	537.4170231
1032	537.4033403
1033	537.3868196
1034	537.3476534
1035	537.2975349
1036	537.2845534
1037	537.2317134
1038	537.2181271
1039	537.204986
1040	537.1922728
1041	537.1384981
1042	537.0904804
1043	537.0474382
1044	537.0321866
1045	537.014698
1046	537.0025427
1047	536.9906258
1048	536.9730034
1049	536.9579073
1050	536.9203577
1051	536.8677102
1052	536.8518873
1053	536.8376076
1054	536.7901017
1055	536.7764411
1056	536.7476049
1057	536.7315027
1058	536.6799199
1059	536.6345809
1060	536.5903751
1061	536.538499
1062	536.5114899
1063	536.4989622
1064	536.4819619
1065	536.4559255
1066	536.4351149
1067	536.4238842
1068	536.400351
1069	536.3553922
1070	536.3241222
1071	536.3004411
1072	536.2703633
1073	536.2625741
1074	536.2399496
1075	536.2280323
1076	536.1988103
1077	536.1876454
1078	536.1641192
1079	536.1496529
1080	536.1305117
1081	536.0878867
1082	536.0643872
1083	536.0539689
1084	536.0382021
1085	536.0253462
1086	535.9999371
1087	535.9494517
1088	535.9235245
1089	535.9050479
1090	535.8917394
1091	535.8708399
1092	535.8602072
1093	535.8481917
1094	535.8278485
1095	535.8062526
1096	535.796688
1097	535.7648031
1098	535.7498182
1099	535.698114
1100	535.6528641
1101	535.6038303
1102	535.5704403
1103	535.5271923
1104	535.5115654
1105	535.4745893
1106	535.4592694
1107	535.4408115
1108	535.4161564
1109	535.4025754
1110	535.3925046
1111	535.3674575
1112	535.3529033
1113	535.3185192
1114	535.2942923
1115	535.2794472
1116	535.2638288
1117	535.2429103
1118	535.2032427
1119	535.1733335
1120	535.1520634
1121	535.1446273
1122	535.123726
1123	535.1100196
1124	535.101022
1125	535.0970488
1126	535.0710419
1127	535.0498923
1128	535.0364143
1129	535.0216699
1130	535.0108511
1131	534.9681832
1132	534.9264882
1133	534.8971912
1134	534.8776756
1135	534.8445273
1136	534.8015251
1137	534.7838347
1138	534.7559011
1139	534.7420337
1140	534.7178665
1141	534.700479
1142	534.6825757
1143	534.662895
1144	534.6552457
1145	534.6095404
1146	534.5654974
1147	534.552549
1148	534.539634
1149	534.5020519
1150	534.4908911
1151	534.4686076
1152	534.4484929
1153	534.4105205
1154	534.3972436
1155	534.3730514
1156	534.3347468
1157	534.3124349
1158	534.2984523
1159	534.2756586
1160	534.2421172
1161	534.1991195
1162	534.1729478
1163	534.1534815
1164	534.1359661
1165	534.1134184
1166	534.108971
1167	534.0876708
1168	534.0677882
1169	534.0478884
1170	534.0215407
1171	534.0123728
1172	533.9887442
1173	533.9573335
1174	533.9319568
1175	533.9101729
1176	533.8952626
1177	533.8562564
1178	533.8525512
1179	533.8291439
1180	533.8104187
1181	533.7644756
1182	533.727898
1183	533.7033483
1184	533.6585989
1185	533.6205256
1186	533.5948542
1187	533.5313797
1188	533.4879741
1189	533.4718783
1190	533.4237823
1191	533.4025493
1192	533.379226
1193	533.3610892
1194	533.3273441
1195	533.3103389
1196	533.2913336
1197	533.2727332
1198	533.2380844
1199	533.2188746
1200	533.2036159
1201	533.1578744
1202	533.1399823
1203	533.1210006
1204	533.0985305
1205	533.0808933
1206	533.079445
1207	533.0612851
1208	533.0487121
1209	533.0303185
1210	533.012513
1211	532.9874921
1212	532.9781172
1213	532.9545113
1214	532.9270982
1215	532.9229874
1216	532.9063674
1217	532.8680701
1218	532.8482799
1219	532.8199478
1220	532.7870639
1221	532.7856886
1222	532.7314023
1223	532.7275386
1224	532.7005858
1225	532.68279
1226	532.6662882
1227	532.6589704
1228	532.6558404
1229	532.6037021
1230	532.5921342
1231	532.5763574
1232	532.5548397
1233	532.506346
1234	532.4864748
1235	532.4364281
1236	532.3997908
1237	532.3865346
1238	532.3742663
1239	532.3270777
1240	532.2849928
1241	532.2689612
1242	532.2538601
1243	532.2369648
1244	532.2134618
1245	532.1542855
1246	532.122909
1247	532.0760257
1248	532.0615522
1249	532.0448553
1250	532.0154111
1251	531.9925433
1252	531.9740346
1253	531.9287949
1254	531.8954479
1255	531.8497419
1256	531.8161821
1257	531.8038868
1258	531.7886297
1259	531.7518553
1260	531.7321964
1261	531.7109129
1262	531.6827707
1263	531.665509
1264	531.6207576
1265	531.5778051
1266	531.5704633
1267	531.5216793
1268	531.4894374
1269	531.4710847
1270	531.4242867
1271	531.4153133
1272	531.4097617
1273	531.396632
1274	531.3831036
1275	531.3670016
1276	531.3569606
1277	531.339572
1278	531.3256978
1279	531.3203997
1280	531.302934
1281	531.2517658
1282	531.2347509
1283	531.2212711
